Using Spark's default log4j profile: org/apache/spark/log4j-defaults.properties
[Stage 0:>                                                          (0 + 0) / 4]                                                                                (19,214,0.004672897196261682)
(71,209,0.004784688995215311)
(61,206,0.0048543689320388345)
(25,206,0.0048543689320388345)
(21,203,0.0049261083743842365)
(94,201,0.004975124378109453)
(11,199,0.005025125628140704)
(43,199,0.005025125628140704)
(87,198,0.005050505050505051)
(56,197,0.005076142131979695)
(30,197,0.005076142131979695)
(7,197,0.005076142131979695)
(80,196,0.00510204081632653)
(96,196,0.00510204081632653)
(85,196,0.00510204081632653)
(72,195,0.005128205128205128)
(68,194,0.005154639175257732)
(83,194,0.005154639175257732)
(6,192,0.005208333333333333)
(32,192,0.005208333333333333)
(70,190,0.005263157894736842)
(16,189,0.005291005291005291)
(60,189,0.005291005291005291)
(91,188,0.005319148936170213)
(53,188,0.005319148936170213)
(2,188,0.005319148936170213)
(17,188,0.005319148936170213)
(40,187,0.0053475935828877)
(49,186,0.005376344086021506)
(81,186,0.005376344086021506)
(14,186,0.005376344086021506)
(36,186,0.005376344086021506)
(58,186,0.005376344086021506)
(77,185,0.005405405405405406)
(27,185,0.005405405405405406)
(34,185,0.005405405405405406)
(63,185,0.005405405405405406)
(24,185,0.005405405405405406)
(0,184,0.005434782608695652)
(22,184,0.005434782608695652)
(59,184,0.005434782608695652)
(84,184,0.005434782608695652)
(38,184,0.005434782608695652)
(64,184,0.005434782608695652)
(52,183,0.00546448087431694)
(79,183,0.00546448087431694)
(39,183,0.00546448087431694)
(18,183,0.00546448087431694)
(55,182,0.005494505494505495)
(45,182,0.005494505494505495)
(23,182,0.005494505494505495)
(42,182,0.005494505494505495)
(46,182,0.005494505494505495)
(86,182,0.005494505494505495)
(75,181,0.0055248618784530384)
(93,181,0.0055248618784530384)
(31,181,0.0055248618784530384)
(13,181,0.0055248618784530384)
(50,181,0.0055248618784530384)
(4,180,0.005555555555555556)
(48,180,0.005555555555555556)
(26,180,0.005555555555555556)
(41,180,0.005555555555555556)
(12,180,0.005555555555555556)
(97,180,0.005555555555555556)
(3,180,0.005555555555555556)
(65,180,0.005555555555555556)
(10,180,0.005555555555555556)
(15,179,0.00558659217877095)
(66,179,0.00558659217877095)
(95,179,0.00558659217877095)
(67,179,0.00558659217877095)
(78,179,0.00558659217877095)
(90,179,0.00558659217877095)
(8,178,0.0056179775280898875)
(37,178,0.0056179775280898875)
(1,178,0.0056179775280898875)
(47,178,0.0056179775280898875)
(54,178,0.0056179775280898875)
(29,178,0.0056179775280898875)
(62,177,0.005649717514124294)
(99,177,0.005649717514124294)
(92,177,0.005649717514124294)
(9,177,0.005649717514124294)
(69,177,0.005649717514124294)
(35,176,0.005681818181818182)
(73,175,0.005714285714285714)
(82,175,0.005714285714285714)
(57,175,0.005714285714285714)
(28,175,0.005714285714285714)
(98,175,0.005714285714285714)
(89,174,0.005747126436781609)
(76,174,0.005747126436781609)
(5,173,0.005780346820809248)
(51,172,0.005813953488372093)
(20,172,0.005813953488372093)
(74,171,0.005847953216374269)
(33,170,0.0058823529411764705)
(88,169,0.005917159763313609)
(44,167,0.005988023952095809)
